sw,etf_code
801010.SI,159825.SZ
801030.SI,159870.SZ
801040.SI,515210.SH
801050.SI,512400.SH
801080.SI,159997.SZ
801110.SI,159996.SZ
801120.SI,515170.SH
801130.SI,nan
801140.SI,nan
801150.SI,512290.SH
801160.SI,nan
801170.SI,159662.SZ
801180.SI,512200.SH
801200.SI,nan
801210.SI,nan
801230.SI,nan
801710.SI,159745.SZ
801720.SI,516970.SH
801730.SI,515790.SH
801740.SI,512660.SH
801750.SI,512720.SH
801760.SI,512980.SH
801770.SI,515880.SH
801780.SI,512800.SH
801790.SI,512070.SH
801880.SI,516110.SH
801890.SI,159886.SZ
801950.SI,515220.SH
801960.SI,516570.SH
801970.SI,512580.SH
801980.SI,nan